Fecha,Ingresos,Net Income,EBITDA,Free Cash Flow,PER
2025-04-30,,,,,
2025-01-31,188334000.0,-62299000.0,-55198000.0,,
2024-10-31,183882000.0,-57326000.0,-50794000.0,,-75.84
2024-07-31,179212000.0,-72189000.0,-65758000.0,,-61.16129032258065
2024-04-30,172448000.0,-63722000.0,-57795000.0,,-67.71428571428571
2024-01-31,171135000.0,-62398000.0,-56697000.0,,-67.71428571428571
2023-10-31,,,,,-67.71428571428571
